title,link,channel_name,channel_link,view_count,upload_date,duration,thumbnail
Step By Step Understanding Of Implementing Data Science Project,https://www.youtube.com/watch?v=Qz7erR3zVUc&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,111000,5 years ago,13:45,https://i.ytimg.com/vi/Qz7erR3zVUc/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCnWL9JQSdURc1E4zZFHhiMSzl0cQ
Data Science Projects For Resume | Machine Learning Projects With Source Code,https://www.youtube.com/watch?v=957fQCm5aDo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,588000,3 years ago,14:07,https://i.ytimg.com/vi/957fQCm5aDo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAQz17yygYMw4wJZeStPmMgCplFCg
🔥Top 3 Data Science Projects For 2024 #Shorts #Simplilearn,https://www.youtube.com/shorts/Tf9lp7_KTqQ,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,4600,1 year ago,SHORTS,
Data Science Projects For Resume,https://www.youtube.com/watch?v=UCqyn1v3q4M&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,45000,10 months ago,8:45,
🔥 Top 5 Data Science Projects #Shorts #Simplilearn,https://www.youtube.com/shorts/S3vBfEUG9Fc,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,1100,1 year ago,SHORTS,
Data Science Project Demo with Data Scientist Melissa Phillips,https://www.youtube.com/watch?v=4PLY2B8lOQo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,UVA School of Data Science,https://www.youtube.com/@uvaschoolofdatascience571,63000,3 years ago,10:08,
Smartphone Sales Analysis | Data Scientist Project,https://www.youtube.com/watch?v=k3XBgK_5frI&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Aditya Sharma,https://www.youtube.com/@Aditya.HiCounselor,52,streamed 1 day ago,58:13,
Data Science Project - Covid-19 Data Analysis Project using Python | Python Training | Edureka,https://www.youtube.com/watch?v=mKSWAlvXSmw&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,edureka!,https://www.youtube.com/@edurekaIN,397000,streamed 4 years ago,29:31,
How To Start Working on Data Science Projects (As a Beginner) #shorts,https://www.youtube.com/shorts/JTlB9fwYRk0,Ken Jee,https://www.youtube.com/@KenJee_ds,12000,1 year ago,SHORTS,
My honest advice to someone who wants to be a data scientist,https://www.youtube.com/watch?v=fx5GP00IcHs&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Egor Howell,https://www.youtube.com/@egorhowell,41000,4 months ago,6:45,
The Complete Data Science Roadmap,https://www.youtube.com/watch?v=9R3X0JoCLyU&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Programming with Mosh,https://www.youtube.com/@programmingwithmosh,209000,5 months ago,6:13,
Impress Recruiters With These Data Science Projects,https://www.youtube.com/watch?v=D-5HHfFRFWA&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,StrataScratch,https://www.youtube.com/@stratascratch,1900,4 months ago,9:11,
Machine Learning & Data Science Project - 1 : Introduction (Real Estate Price Prediction Project),https://www.youtube.com/watch?v=rdfbcdP75KI&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,445000,5 years ago,2:12,
16 Best Data Science Project Ideas | Data Science Projects for Beginners & Advanced,https://www.youtube.com/watch?v=ZHmzbH3Oidk&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,upGrad,https://www.youtube.com/@upGrad_edu,4800,2 months ago,12:11,
How to come up with Data Science projects - From Ideas to Implementation,https://www.youtube.com/watch?v=l6YfXTHk59E&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Data Professor,https://www.youtube.com/@DataProfessor,9800,2 years ago,16:17,
What Is a Good Data Science Project For Jobs?,https://www.youtube.com/watch?v=wl9zCLyBDU4&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,46000,9 months ago,13:41,
🔥 Top 10 Data Science Projects For 2024 | 10 Data Science Projects For Beginners | Simplilearn,https://www.youtube.com/watch?v=pMohiDJo24k&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,46000,1 year ago,12:23,
How to Make a Data Science Project with Kaggle,https://www.youtube.com/watch?v=m2DfpM6MyB8&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Google Cloud Tech,https://www.youtube.com/@googlecloudtech,133000,6 years ago,21:00,
🌟Data Science Resume Project: Bangalore Property Price Prediction! #codebasics #shorts #data,https://www.youtube.com/shorts/eeNq4VpBezs,codebasics,https://www.youtube.com/@codebasics,18000,1 year ago,SHORTS,
3 projects to highlight in your data science portfolio,https://www.youtube.com/shorts/t8pDRQRbS54,Sundas Khalid,https://www.youtube.com/@SundasKhalid,84000,3 years ago,SHORTS,
"Python for Data Science Course – Hands-on Projects with EDA, AB Testing & Business Intelligence",https://www.youtube.com/watch?v=FTpmwX94_Yo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,131000,6 months ago,5:24:31,
Build 12 Data Science Apps with Python and Streamlit - Full Course,https://www.youtube.com/watch?v=JwSS70SZdyM&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,1200000,3 years ago,3:11:52,
Free datasets for machine learning and data science projects,https://www.youtube.com/watch?v=eD3Zsb6w7K4&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,22000,3 years ago,3:44,
Guided Data Science Projects for Your Resume!📄👨‍💼 #dataanalysis #datascience #data #shorts,https://www.youtube.com/shorts/-JOoeynadEQ,codebasics,https://www.youtube.com/@codebasics,139000,1 year ago,SHORTS,https://i.ytimg.com/vi/-JOoeynadEQ/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGBEgcihGMA8=&rs=AOn4CLDLM9YB69TOIXWFivEJAlJGf-i7QQ
Top 6 Data Science GitHub Projects || MUST BOOKMARK 🔥,https://www.youtube.com/shorts/LVrRpjmgfgc,Analytics Vidhya,https://www.youtube.com/@Analyticsvidhya,47000,1 year ago,SHORTS,
Become a Data Scientist: Roadmap with Free Resources,https://www.youtube.com/watch?v=K7GShburb6A&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Exaltitude,https://www.youtube.com/@exaltitude,1100,17 hours ago,8:13,
Spam Mail Prediction | Data Science Project,https://www.youtube.com/watch?v=7IfhIhRYyAU&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Aditya Sharma,https://www.youtube.com/@Aditya.HiCounselor,0,,UPCOMING,
R Programming For Data Science Full Course in 4 Hours | Learn R Programming Tutorial 2025,https://www.youtube.com/watch?v=TwRxZwSFrBQ&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,BEPEC by Kanth,https://www.youtube.com/@BEPEC,231,21 hours ago,3:45:56,
What Should Be Your First Data Science Projects In Your Resume?,https://www.youtube.com/watch?v=6c-qeb_uESA&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,21000,4 years ago,9:04,
Data Science Roadmap 2025 : From Beginner to Pro in 14 Minutes | Data Science | Data Science Galaxy,https://www.youtube.com/watch?v=tuUNUJxuzx8&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Data Science Galaxy,https://www.youtube.com/@DataScienceGalaxy,0,20 hours ago,14:25,
Modern Application Development I Project Demo | Household Services | BS Data Science IITM,https://www.youtube.com/watch?v=FHMdtaLWznI&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Jishnu J P,https://www.youtube.com/@JishnuJP-b1s,0,21 hours ago,11:59,
Supply Chain Analysis with Python 25 Transportation Cost Optimization Using AdaBoost Algorithm,https://www.youtube.com/watch?v=FT3JVe_xKQE&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Chain,https://www.youtube.com/@Chain-Chainowski,0,16 hours ago,3:36,
Data Roles Explained in 3 Minutes (Data Analyst vs. Data Scientist vs. Data Engineer vs. BI Analyst),https://www.youtube.com/watch?v=8qSwh_r6wg8&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Data36 - Online Data Science Courses,https://www.youtube.com/@datatomi,0,10 hours ago,3:16,
How a Data Science Course at Edure Changed His Career | Success Story,https://www.youtube.com/watch?v=V24oWBUizoM&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Edure Learning,https://www.youtube.com/@EdureLearning,0,19 hours ago,11:44,
How To Make 100$ a day Building AI Agents with CrewAI,https://www.youtube.com/watch?v=_6f_Om8lhuA&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,KevenBazile,https://www.youtube.com/@Kevencebazile,0,5 hours ago,9:43,
How Data-Led and AI-Led Transformations Differ: An Expert's Perspective,https://www.youtube.com/shorts/DNvn8fd7WPY,ProjectPro - Data Science Projects,https://www.youtube.com/@ProjectProDataScienceProjects,0,19 hours ago,SHORTS,
Top 10 NLP Project Ideas 💡#nlp #ai #datascience #machinelearning #deeplearning #bigdata #python #ai,https://www.youtube.com/shorts/ABCRD2WTbSA,AI Data Hub,https://www.youtube.com/@AIDataHub,0,3 hours ago,SHORTS,
SSIS Solution Project Blog Day 55 | Data Engineering 🧑‍💻🚀 #studyvlog #youtubeshorts #shorts,https://www.youtube.com/shorts/4LpSKS6dKuM,Abhishek Tripathi,https://www.youtube.com/@CloudandTechie,471,18 hours ago,SHORTS,https://i.ytimg.com/vi/4LpSKS6dKuM/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGE0gWyhlMA8=&rs=AOn4CLAYZ03yyAJDbj7lEhee-SisP1L71g
🚀Struggling with Data Science Tools in Your Live Project?,https://www.youtube.com/shorts/_LKJEjSzUBA,Gig Networks,https://www.youtube.com/@Gignets,0,18 hours ago,SHORTS,https://i.ytimg.com/vi/_LKJEjSzUBA/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgVSgzMA8=&rs=AOn4CLDMi_ehi7o5vOvfP6UYtp3SRq9xlA
Apheris: Revolutionizing AI in Life Sciences! #sciencefather,https://www.youtube.com/shorts/fdBjmZ5HkO4,Ai Data Scientist,https://www.youtube.com/@aidatascientistaward,0,21 hours ago,SHORTS,https://i.ytimg.com/vi/fdBjmZ5HkO4/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGDsgXChyMA8=&rs=AOn4CLDSXKetoN84VpiVH-sB5u7PnMs0cg
What is data science #music #datascience #machinelearning #dataanalytics #nlp #ai,https://www.youtube.com/shorts/lz8P4CcQ_pI,ML Projects,https://www.youtube.com/@ml-projects-z9l,0,17 hours ago,SHORTS,https://i.ytimg.com/vi/lz8P4CcQ_pI/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGF4gXiheMA8=&rs=AOn4CLC0pyNIRTQpeAsFcQlM1JokUVawZw
Data Science Projects In Python | Data Analysis | #shorts #ytshorts #datascience #datavisualization,https://www.youtube.com/shorts/FSMP-pcuaBQ,EduSpark,https://www.youtube.com/@LahariPandiri-66,0,15 hours ago,SHORTS,https://i.ytimg.com/vi/FSMP-pcuaBQ/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGH8gEygiMA8=&rs=AOn4CLD2nPtIgCxYssv3elIRPCK5WRxGmA
Top 10 Data Science Projects In 2021 | Best Data Science Project Ideas In 2021 | Edureka,https://www.youtube.com/watch?v=h1r9NnQDJfo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,edureka!,https://www.youtube.com/@edurekaIN,64000,3 years ago,18:26,https://i.ytimg.com/vi/h1r9NnQDJfo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAWueW3E-6kjpf_xB0cFm3y6j326w
5 Essential Data Science Projects for Your Portfolio,https://www.youtube.com/watch?v=BBDiadC8BvE&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Ken Jee,https://www.youtube.com/@KenJee_ds,75000,4 years ago,6:54,
How Should You Explain Your Data Science Projects To Recruiters?- Must Watch For Everyone,https://www.youtube.com/watch?v=-mQkrH4-E8A&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,100000,4 years ago,17:15,
How Data Science Projects Are Implemented Using Agile Methodology🤔 🤔 🤔 🤔 🤔 🤔 🤔,https://www.youtube.com/watch?v=gYsU2VTESE8&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,37000,3 years ago,15:05,
Data Science Life Cycle | Life Cycle Of A Data Science Project | Data Science Tutorial | Simplilearn,https://www.youtube.com/watch?v=4Cp6PkBKqX4&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,74000,4 years ago,17:48,
How to create your first data science project,https://www.youtube.com/watch?v=WXy10mi7Akc&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Data Professor,https://www.youtube.com/@DataProfessor,19000,2 years ago,21:18,
Machine Learning & Data Science Project - 2 : Data Cleaning (Real Estate Price Prediction Project),https://www.youtube.com/watch?v=_drqJ9SFCgU&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,354000,5 years ago,15:21,
Why Data Science Project Fails? Sharing My 9+ Years Experience,https://www.youtube.com/watch?v=KDIvVwrKCpw&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,5100,3 years ago,43:16,
Best Data Science Projects in 2021,https://www.youtube.com/shorts/x2t4lvBsLBc,BEPEC by Kanth,https://www.youtube.com/@BEPEC,101000,3 years ago,SHORTS,
